No.,Pos.,Nation,Player,Info
2,DF,ITA,Davide Calabria,(captain)[112]
4,MF,ALG,Ismaël Bennacer,
5,DF,SEN,Fodé Ballo-Touré,
7,MF,FRA,Yacine Adli,
8,MF,ENG,Ruben Loftus-Cheek,
9,FW,FRA,Olivier Giroud,
10,FW,POR,Rafael Leão,
11,MF,USA,Christian Pulisic,
14,MF,NED,Tijjani Reijnders,
16,GK,FRA,Mike Maignan,
17,FW,SUI,Noah Okafor,
18,FW,ARG,Luka Romero,
19,DF,FRA,Théo Hernandez,(vice-captain)[112]
20,DF,FRA,Pierre Kalulu,
21,FW,NGA,Samuel Chukwueze,
23,DF,ENG,Fikayo Tomori,
24,DF,DEN,Simon Kjær,
27,FW,BEL,Divock Origi,
28,DF,GER,Malick Thiaw,
29,FW,ITA,Lorenzo Colombo,
30,DF,ITA,Mattia Caldara,
31,DF,ARG,Marco Pellegrino,
32,MF,ITA,Tommaso Pobega,
33,MF,BIH,Rade Krunić,
42,DF,ITA,Alessandro Florenzi,
56,MF,BEL,Alexis Saelemaekers,
57,GK,ITA,Marco Sportiello,
69,GK,ITA,Lapo Nava,
70,FW,CIV,Chaka Traorè,
80,MF,USA,Yunus Musah,
83,GK,ITA,Antonio Mirante,
—,GK,COL,Devis Vásquez,(at Sheffield Wednesday until 30 June 2024)[113]
—,DF,ITA,Andrea Bozzolan,(at Perugia until 30 June 2024)[114]
—,DF,ITA,Tommaso Cecotti,(at Carpi until 30 June 2024)[115]
—,DF,ITA,Leonardo D'Alessio,(at Pro Sesto until 30 June 2024)[116]
—,DF,ITA,Matteo Gabbia,(at Villarreal until 30 June 2024)[117]
—,MF,BEL,Charles De Ketelaere,(at Atalanta until 30 June 2024)[118]
—,MF,ITA,Antonio Gala,(at Sestri Levante until 30 June 2024)[119]
—,MF,ITA,Daniel Maldini,(at Empoli until 30 June 2024)[120]
—,FW,ITA,Gabriele Alesi,(at Sampdoria until 30 June 2024)[121]
—,FW,SRB,Marko Lazetić,(at Fortuna Sittard until 30 June 2024)[122]
—,FW,BRA,Junior Messias,(at Genoa until 30 June 2024)[123]
—,FW,ITA,Marco Nasti,(at Bari until 30 June 2024)[124]
—,FW,ITA,Bob Murphy Omoregbe,(at Fiorenzuola until 30 June 2024)[125]
—,FW,SWE,Emil Roback,(at Norrköping until 30 November 2023)[126]
85,MF,ITA,Kevin Zeroli,
95,DF,ITA,Davide Bartesaghi,
