No.,Pos.,Nation,Player,Info
1,GK,ARG,Juan Musso,
2,DF,ITA,Rafael Tolói,(captain)
5,DF,ITA,Caleb Okoli,
6,DF,ARG,José Luis Palomino,
7,MF,NED,Teun Koopmeiners,
8,MF,CRO,Mario Pašalić,
9,FW,COL,Luis Muriel,
10,FW,MLI,El Bilal Touré,
11,FW,NGA,Ademola Lookman,
13,MF,BRA,Éderson,
15,MF,NED,Marten de Roon,(vice-captain)
17,MF,BEL,Charles De Ketelaere,(on loan from AC Milan)
19,DF,ALB,Berat Djimsiti,
20,DF,NED,Mitchel Bakker,
21,DF,ITA,Nadir Zortea,
22,DF,ITA,Matteo Ruggeri,
23,DF,BIH,Sead Kolašinac,
25,MF,FRA,Michel Ndary Adopo,
29,GK,ITA,Marco Carnesecchi,
31,GK,ITA,Francesco Rossi,
33,DF,NED,Hans Hateboer,
42,DF,ITA,Giorgio Scalvini,
77,DF,ITA,Davide Zappacosta,
90,FW,ITA,Gianluca Scamacca,
91,FW,COL,Duván Zapata,
93,DF,FRA,Brandon Soppy,
—,FW,GAM,Ebrima Colley,
—,FW,RUS,Aleksei Miranchuk,
—,GK,ITA,Tommaso Bertini,(at Latina until 30 June 2024)
—,GK,ITA,Pierluigi Gollini,(at Napoli until 30 June 2024)
—,DF,ITA,Federico Bergonzi,(at Feralpisalò until 30 June 2024)
—,DF,ITA,Giorgio Cittadini,(at Monza until 30 June 2024)
—,MF,ITA,Samuel Giovane,(at Ascoli until 30 June 2024)
—,MF,UKR,Viktor Kovalenko,(at Empoli until 30 June 2024)
—,MF,ALB,Erdis Kraja,(at Ascoli until 30 June 2024)
—,MF,ITA,Andrea Oliveri,(at Catanzaro until 30 June 2024)
—,MF,ITA,Simone Panada,(at Sampdoria until 30 June 2024)
—,MF,ITA,Lorenzo Peli,(at Ancona until 30 June 2024)
—,MF,FRA,Guillaume Renault,(at Pro Patria until 30 June 2024)
—,MF,ITA,Federico Zuccon,(at Cosenza until 30 June 2024)
—,FW,ITA,Simone Mazzocchi,(at Cosenza until 30 June 2024)
—,FW,ITA,Nicolò Cambiaghi,(at Empoli until 30 June 2024)
—,FW,ITA,Roberto Piccoli,(at Empoli until 30 June 2024)
