No.,Pos.,Nation,Player,Info
3,DF,AUT,Stefan Posch,
4,DF,URU,Joaquín Sosa,
5,DF,FRA,Adama Soumaoro,
6,MF,CRO,Nikola Moro,
7,FW,ITA,Riccardo Orsolini,(vice-captain)
8,MF,ARG,Nicolás Domínguez,(captain)
9,FW,NED,Joshua Zirkzee,
10,MF,SWE,Jesper Karlsson,
11,FW,SUI,Dan Ndoye,
14,DF,ITA,Kevin Bonifazi,
15,DF,DEN,Victor Kristiansen,(on loan from Leicester City)
16,DF,ITA,Tommaso Corazza,
17,MF,MAR,Oussama El Azzouzi,
19,MF,SCO,Lewis Ferguson,
20,MF,SUI,Michel Aebischer,
22,DF,GRE,Charalampos Lykogiannis,
23,GK,ITA,Nicola Bagnolini,
26,DF,COL,Jhon Lucumí,
28,GK,POL,Łukasz Skorupski,
29,DF,ITA,Lorenzo De Silvestri,
31,DF,NED,Sam Beukema,
34,GK,ITA,Federico Ravaglia,
56,MF,BEL,Alexis Saelemaekers,(on loan from AC Milan)
77,FW,NED,Sydney van Hooijdonk,
80,MF,ITA,Giovanni Fabbian,
82,MF,POL,Kacper Urbański,
99,FW,GAM,Musa Barrow,
—,MF,NGA,Kingsley Michael,
—,FW,NGA,Orji Okwonkwo,
—,FW,ITA,Emanuel Vignato,
—,GK,CAN,Sebastian Breza,(at Yverdon until 30 June 2024)
—,DF,GHA,Ebenezer Annan,(at Novi Pazar until 30 June 2024)
—,DF,ENG,Luis Binks,(at Coventry City until 30 June 2024)
—,DF,ITA,Riccardo Stivanello,(at Juventus Next Gen until 30 June 2024)
—,MF,ISL,Andri Baldursson,(at Elfsborg until 30 June 2024)
—,MF,FIN,Niklas Pyyhtiä,(at Ternana until 30 June 2024)
—,FW,AUT,Marko Arnautovic,(at Inter Milan until 30 June 2024)
—,FW,ITA,Gianmarco Cangiano,(at Pescara until 30 June 2024)
—,FW,ITA,Mattia Pagliuca,(at Alessandria until 30 June 2024)
—,FW,ITA,Antonio Raimondo,(at Ternana until 30 June 2024)
