No.,Pos.,Nation,Player,Info
1,GK,SRB,Boris Radunović,
3,DF,ITA,Edoardo Goldaniga,
4,DF,ITA,Alberto Dossena,
5,MF,ITA,Marco Mancosu,
6,MF,CRO,Marko Rog,
8,MF,URU,Nahitan Nández,
9,FW,PER,Gianluca Lapadula,
10,MF,ITA,Nicolas Viola,
14,MF,ITA,Alessandro Deiola,
16,MF,ITA,Matteo Prati,
18,GK,ITA,Simone Aresti,
19,MF,ITA,Gaetano Oristanio,(on loan from Inter Milan)
20,MF,URU,Gastón Pereiro,
21,MF,CZE,Jakub Jankto,
22,GK,ITA,Simone Scuffet,
24,DF,ITA,Elio Capradossi,
25,MF,GHA,Ibrahim Sulemana,
27,DF,ITA,Tommaso Augello,
28,DF,ITA,Gabriele Zappa,
29,MF,CGO,Antoine Makoumbou,
30,FW,ITA,Leonardo Pavoletti,
33,DF,SVK,Adam Obert,
37,DF,BRA,Paulo Azzi,
38,FW,ITA,Jacopo Desogus,
39,MF,GRE,Christos Kourfalidis,
61,FW,UZB,Eldor Shomurodov,(on loan from Roma)
77,FW,ANG,Zito Luvumbo,
99,DF,ITA,Alessandro Di Pardo,
—,DF,POL,Mateusz Wieteska,
—,FW,ITA,Andrea Petagna,(on loan from Monza)
—,GK,ITA,Giuseppe Ciocci,(at Pescara until 30 June 2024)
—,DF,ITA,Giorgio Altare,(at Venezia until 30 June 2024)
—,DF,ITA,Salvatore Boccia,(at Novara until 30 June 2024)
—,DF,ITA,Luigi Palomba,(at Olbia until 30 June 2024)
—,DF,ITA,Christian Travaglini,(at Ternana until 30 June 2024)
—,DF,ITA,Davide Veroli,(at Catanzaro until 30 June 2024)
—,DF,ITA,Francesco Zallu,(at Olbia until 30 June 2024)
—,MF,ITA,Nicolò Cavuoti,(at Olbia until 30 June 2024)
—,MF,ROU,Razvan Marin,(at Empoli until 30 June 2024)
—,FW,ITA,Gianluca Contini,(at Olbia until 30 June 2024)
—,MF,ARG,Isaías Delpupo,(at Pontedera until 30 June 2024)
—,FW,SVN,Nik Prelec,(at WSG Tirol until 30 June 2024)
