No.,Pos.,Nation,Player,Info
1,GK,ITA,Samuele Perisan,
3,DF,ITA,Giuseppe Pezzella,
4,DF,POL,Sebastian Walukiewicz,
5,MF,ITA,Alberto Grassi,
7,FW,ALB,Stiven Shpendi,(on loan from Cesena)
8,MF,UKR,Viktor Kovalenko,(on loan from Atalanta)
9,FW,ITA,Francesco Caputo,
11,FW,GHA,Emmanuel Gyasi,
13,DF,NZL,Liberato Cacace,
17,FW,SWE,Emmanuel Ekong,
18,MF,ROU,Razvan Marin,
19,DF,POL,Bartosz Bereszyński,(on loan from Sampdoria)
20,FW,ITA,Matteo Cancellieri,(on loan from Lazio)
21,MF,ITA,Jacopo Fazzini,
22,MF,ITA,Filippo Ranocchia,(on loan from Juventus)
24,DF,NGA,Tyronne Ebuehi,
25,GK,ITA,Elia Caprile,(on loan from Napoli)
27,MF,ITA,Daniel Maldini,(on loan from Milan)
28,FW,ITA,Nicolò Cambiaghi,(on loan from Atalanta)
32,MF,SUI,Nicolas Haas,
33,DF,ITA,Sebastiano Luperto,(captain)
34,DF,ALB,Ardian Ismajli,
35,MF,ITA,Tommaso Baldanzi,
91,FW,ITA,Roberto Piccoli,(on loan from Atalanta)
92,MF,ITA,Giovanni Crociata,
—,GK,ALB,Etrit Berisha,
—,FW,ITA,Mattia Destro,
—,DF,ITA,Lorenzo Tonelli,
—,MF,ITA,Luca Belardinelli,
—,GK,ITA,Niccolò Chiorra,(at Lucchese until 30 June 2023)
—,DF,ITA,Samuele Angori,(at Pontedera until 30 June 2023)
—,DF,ITA,Francesco Donati,(at Lecco until 30 June 2023)
—,DF,SVN,Petar Stojanović,(at Sampdoria until 30 June 2023)
—,MF,ITA,Duccio Degli Innocenti,(at Lecco until 30 June 2023)
—,MF,SCO,Liam Henderson,(at Palermo until 30 June 2023)
—,FW,ITA,Davide Merola,(at Pescara until 30 June 2023)
