No.,Pos.,Nation,Player,Info
1,GK,ITA,Pietro Terracciano,
2,DF,BRA,Dodô,
3,DF,ITA,Cristiano Biraghi,(captain)
4,DF,SRB,Nikola Milenković,
5,MF,ITA,Giacomo Bonaventura,(vice-captain)
6,MF,BRA,Arthur,(on loan from Juventus)
7,FW,ITA,Riccardo Sottil,
8,FW,SRB,Luka Jović,
9,FW,ARG,Lucas Beltrán,
10,FW,ARG,Nicolás González,
11,FW,FRA,Jonathan Ikoné,
16,DF,ITA,Luca Ranieri,
17,MF,ITA,Gaetano Castrovilli,
18,FW,ANG,M'Bala Nzola,
19,MF,ARG,Gino Infantino,
26,DF,COL,Yerry Mina,
27,MF,MAR,Abdelhamid Sabiri,
28,DF,ARG,Lucas Martínez Quarta,
30,GK,ITA,Tommaso Martinelli,
32,MF,GHA,Alfred Duncan,
33,DF,ITA,Michael Kayode,
34,MF,MAR,Sofyan Amrabat,
38,MF,ITA,Rolando Mandragora,
53,GK,DEN,Oliver Christensen,
65,DF,ITA,Fabiano Parisi,
70,DF,ITA,Niccolò Pierozzi,
72,MF,CZE,Antonín Barák,
73,MF,ITA,Lorenzo Amatucci,
77,MF,CRO,Josip Brekalo,
91,FW,RUS,Aleksandr Kokorin,
99,FW,CIV,Christian Kouamé,
—,DF,ITA,Christian Dalle Mura,
—,DF,ITA,Filippo Frison,
—,MF,ITA,Vittorio Agostinelli,
—,MF,ITA,Marco Benassi,
—,DF,ROU,Eduard Duțu,(at Ancona until 30 June 2024)
—,DF,ITA,Gabriele Ferrarini,(at Feralpisalò until 30 June 2024)
—,DF,ITA,Davide Gentile,(at Fiorenzuola until 30 June 2024)
—,DF,ITA,Lorenzo Lucchesi,(at Ternana until 30 June 2024)
—,DF,BUL,Dimo Krastev,(at Catanzaro until 30 June 2024)
—,DF,ITA,Edoardo Pierozzi,(at Cesena until 30 June 2024)
—,MF,ITA,Alessandro Bianco,(at Reggiana until 30 June 2024)
—,MF,ITA,Costantino Favasuli,(at Ternana until 30 June 2024)
—,MF,ITA,Mattia Fiorini,(at Foggia until 30 June 2024)
—,FW,ITA,Ciro Capasso,(at Sorrento until 30 June 2024)
—,FW,ITA,Filippo Distefano,(at Ternana until 30 June 2024)
—,FW,ITA,Destiny Egharevba,(at Recanatese until 30 June 2024)
—,FW,ALB,Eljon Toçi,(at Sestri Levante until 30 June 2024)
—,FW,ROU,Louis Munteanu,(at Farul Constanța until 30 June 2024)
