No.,Pos.,Nation,Player,Info
3,DF,ITA,Riccardo Marchizza,
4,MF,ITA,Marco Brescianini,
6,DF,ITA,Simone Romagnoli,
7,FW,URU,Jaime Báez,
8,MF,CRO,Karlo Lulić,
9,FW,ITA,Gennaro Borrelli,
10,FW,ITA,Giuseppe Caso,
11,FW,ALB,Marvin Çuni,
13,DF,SVN,Matjaž Kamenšek-Pahič,
14,MF,ITA,Francesco Gelli,
15,FW,ITA,Hamza Haoudi,
16,MF,ITA,Luca Garritano,
17,MF,GEO,Giorgi Kvernadze,(on loan from Kolkheti Poti)
19,FW,ITA,Luigi Canotto,
21,MF,MAR,Abdou Harroui,
22,DF,GAB,Anthony Oyono,
23,DF,ALB,Sergio Kalaj,
25,DF,POL,Przemysław Szymiński,
26,FW,MAR,Soufiane Bidaoui,
30,DF,ITA,Ilario Monterisi,
31,GK,ITA,Michele Cerofolini,
33,DF,DEN,Lukas Klitten,
36,MF,ITA,Luca Mazzitelli,
45,MF,ARG,Enzo Barrenechea,(on loan from Juventus)
70,FW,MAR,Walid Cheddira,(on loan from Napoli)
80,GK,ITA,Stefano Turati,(on loan from Sassuolo)
—,GK,ITA,Pierluigi Frattali,
—,DF,ESP,Pol Lirola,(on loan from Marseille)
—,MF,ARG,Matías Soulé,(on loan from Juventus)
—,FW,BRA,Kaio Jorge,(on loan from Juventus)
—,DF,SRB,Milan Kremenovic,
—,FW,ITA,Simone Stampete,
—,GK,ITA,Lorenzo Palmisani,(at Olbia until 30 June 2023)
—,DF,ITA,Gabriele Bracaglia,(at Renate until 30 June 2023)
—,MF,ITA,Simone Cangianiello,(at Lucchese until 30 June 2023)
—,MF,GAM,Kalifa Kujabi,(at Torres until 30 June 2023)
—,FW,ITA,Pierluca Luciani,(at Messina until 30 June 2023)
—,FW,ITA,Alessandro Selvini,(at Rimini until 30 June 2023)
