No.,Pos.,Nation,Player,Info
1,GK,ESP,Josep Martínez,
2,MF,NOR,Morten Thorsby,
3,DF,ESP,Aarón Martín,
4,MF,BEL,Koni De Winter,(on loan from Juventus)
5,DF,ROU,Radu Drăgușin,
8,MF,NED,Kevin Strootman,
10,MF,ITA,Mattia Aramu,
11,MF,ISL,Albert Guðmundsson,
13,DF,ITA,Mattia Bani,
14,DF,ITA,Alessandro Vogliacco,
16,GK,ITA,Nicola Leali,
17,MF,UKR,Ruslan Malinovskyi,(on loan from Marseille)
18,FW,GHA,Caleb Ekuban,
19,FW,ITA,Mateo Retegui,
20,DF,ITA,Stefano Sabelli,
21,MF,ITA,Filippo Melegoni,
22,DF,MEX,Johan Vásquez,
23,DF,ITA,Davide Biraschi,
24,MF,POL,Filip Jagiełło,
27,FW,ITA,Kelvin Yeboah,
30,FW,BRA,Junior Messias,(on loan from AC Milan)
31,MF,AUT,Stefan Ilsanker,
32,MF,DEN,Morten Frendrup,
33,DF,URU,Alan Matturro,
36,DF,SUI,Silvan Hefti,
37,FW,ROU,George Pușcaș,
39,GK,ITA,Daniele Sommariva,
47,MF,CRO,Milan Badelj,
50,FW,TUR,Güven Yalçın,
99,MF,CHI,Pablo Galdames,
—,DF,SUR,Ridgeciano Haps,(on loan from Venezia)
—,DF,ITA,Brayan Boci,(at Lecco until 30 June 2024)
—,DF,GER,Lennart Czyborra,(at PEC Zwolle until 30 June 2024)
—,DF,ITA,Paolo Gozzi,(at Red Star until 30 June 2024)
—,DF,ITA,Alessandro Marcandalli,(at Reggiana until 30 June 2024)
—,DF,CRO,Marko Pajač,(at Reggiana until 30 June 2024)
—,DF,ITA,Federico Valietti,(at Vicenza until 30 June 2024)
—,MF,ITA,Federico Accornero,(at Pescara until 30 June 2024)
—,MF,ITA,Francesco Cassata,(at Spezia until 30 June 2024)
—,MF,ITA,Patrizio Masini,(at Ascoli until 30 June 2024)
—,MF,ITA,Manolo Portanova,(at Reggiana until 30 June 2024)
—,FW,POL,Aleksander Buksa,(at WSG Tirol until 30 June 2024)
—,FW,ITA,Massimo Coda,(at Cremonese until 30 June 2024)
—,FW,ITA,Andrea Favilli,(at Ternana until 30 June 2024)
—,FW,ITA,Daniel Fossati,(at Pontedera until 30 June 2024)
—,FW,ITA,Elia Petrelli,(at Pro Sesto until 30 June 2024)
