No.,Pos.,Nation,Player,Info
1,GK,ITA,Lorenzo Montipò,
2,DF,ARG,Bruno Amione,
3,DF,SCO,Josh Doig,
4,DF,GER,Koray Günter,
5,DF,ITA,Davide Faraoni,(captain)
6,DF,SWE,Isak Hien,
7,FW,NED,Jayden Braaf,
8,MF,SRB,Darko Lazović,
9,FW,FRA,Thomas Henry,
10,MF,AUS,Ajdin Hrustic,
11,FW,BIH,Milan Đurić,
14,MF,ESP,Joselito,
16,GK,ITA,Mattia Chiesa,
18,MF,CMR,Martin Hongla,
19,DF,SUI,Kevin Rüegg,
20,MF,ITA,Riccardo Saponara,
21,FW,ESP,Siren Diao,
22,GK,ITA,Alessandro Berardi,
23,DF,ITA,Giangiacomo Magnani,
24,MF,ITA,Filippo Terracciano,
25,MF,GER,Suat Serdar,(on loan from Hertha)
26,FW,BEL,Cyril Ngonge,
27,DF,POL,Paweł Dawidowicz,
28,MF,ITA,Nicola Patanè,
30,FW,SLE,Yayah Kallon,
32,DF,COL,Juan Cabal,
33,MF,SVK,Ondrej Duda,
34,GK,ITA,Simone Perilli,
42,DF,ITA,Diego Coppola,
77,MF,ESP,Jordi Mboula,
80,FW,ITA,Alphadjo Cissè,
90,MF,ITA,Michael Folorunsho,(on loan from Napoli)
99,FW,ITA,Federico Bonazzoli,(on loan from Salernitana)
—,FW,ITA,Lorenzo Bertini,
—,FW,SEN,Adama Sane,
—,DF,ITA,Federico Ceccherini,(at Fatih Karagümrük until 30 June 2024)
—,DF,TUR,Mert Çetin,(at Ankaragücü until 30 June 2024)
—,MF,ITA,Denis Cazzadori,(at Arzignano until 30 June 2024)
—,MF,ITA,Bruno Conti,(at Monterosi until 30 June 2024)
—,MF,POL,Mateusz Praszelik,(at Cosenza until 30 June 2024)
—,FW,SVN,David Flakus Bosilj,(at De Graafschap until 30 June 2024)
—,FW,ITA,Kevin Lasagna,(at Fatih Karagümrük until 30 June 2024)
