No.,Pos.,Nation,Player,Info
1,GK,SUI,Yann Sommer,
2,DF,NED,Denzel Dumfries,
5,MF,ITA,Stefano Sensi,
6,DF,NED,Stefan de Vrij,
7,MF,COL,Juan Cuadrado,
8,FW,AUT,Marko Arnautović,(on loan from Bologna)
9,FW,FRA,Marcus Thuram,
10,FW,ARG,Lautaro Martínez,(captain)
12,GK,ITA,Raffaele Di Gennaro,
15,DF,ITA,Francesco Acerbi,
16,MF,ITA,Davide Frattesi,(on loan from Sassuolo)
20,MF,TUR,Hakan Çalhanoğlu,
21,MF,ALB,Kristjan Asllani,
22,MF,ARM,Henrikh Mkhitaryan,
23,MF,ITA,Nicolò Barella,(vice-captain)
30,DF,BRA,Carlos Augusto,(on loan from Monza)
31,DF,GER,Yann Aurel Bisseck,
32,DF,ITA,Federico Dimarco,
34,MF,FRA,Lucien Agoumé,
36,DF,ITA,Matteo Darmian,
44,DF,ITA,Giacomo Stabile,
48,DF,POL,Tommaso Guercio,
50,MF,SRB,Aleksandar Stanković,
70,FW,CHI,Alexis Sánchez,
77,GK,ITA,Emil Audero,(on loan from Sampdoria)
95,DF,ITA,Alessandro Bastoni,
—,DF,FRA,Benjamin Pavard,
—,DF,ITA,Davide Zugaro,
—,MF,ARG,Franco Vezzoni,
—,GK,BRA,Gabriel Brazão,(at Ternana until 30 June 2024)
—,GK,ROU,Ionuț Radu,(at Bournemouth until 30 June 2024)
—,GK,SRB,Filip Stanković,(at Sampdoria until 30 June 2024)
—,DF,ITA,Alessandro Fontanarosa,(at Cosenza until 30 June 2024)
—,DF,BEL,Zinho Vanheusden,(at Standard Liege until 30 June 2024)
—,DF,ITA,Mattia Zanotti,(at St. Gallen until 30 June 2024)
—,MF,ARG,Franco Carboni,(at Monza until 30 June 2024)
—,MF,ARG,Valentin Carboni,(at Monza until 30 June 2024)
—,MF,ITA,Jacopo Gianelli,(at Fermana until 30 June 2024)
—,FW,ARG,Joaquín Correa,(at Marseille until 30 June 2024)
—,FW,ITA,Francesco Pio Esposito,(at Spezia until 30 June 2024)
—,FW,ITA,Sebastiano Esposito,(at Sampdoria until 30 June 2024)
—,FW,ITA,Gaetano Oristanio,(at Cagliari until 30 June 2024)
—,FW,ITA,Eddie Salcedo,(at Eldense until 30 June 2024)
—,FW,URU,Martín Satriano,(at Brest until 30 June 2024)
