No.,Pos.,Nation,Player,Info
1,GK,POL,Wojciech Szczęsny,
2,DF,ITA,Mattia De Sciglio,
3,DF,BRA,Bremer,
4,DF,ITA,Federico Gatti,
5,MF,ITA,Manuel Locatelli,
6,DF,BRA,Danilo,(captain)
7,FW,ITA,Federico Chiesa,
9,FW,SRB,Dušan Vlahović,
10,MF,FRA,Paul Pogba,
11,MF,SRB,Filip Kostić,
12,DF,BRA,Alex Sandro,
13,DF,NED,Dean Huijsen,
14,FW,POL,Arkadiusz Milik,
15,FW,TUR,Kenan Yıldız,
16,MF,USA,Weston McKennie,
17,FW,ENG,Samuel Iling-Junior,
18,FW,ITA,Moise Kean,
20,MF,ITA,Fabio Miretti,
21,FW,ITA,Nicolò Fagioli,
22,FW,USA,Timothy Weah,
23,GK,ITA,Carlo Pinsoglio,
24,DF,ITA,Daniele Rugani,
25,MF,FRA,Adrien Rabiot,
26,MF,BRA,Kaio Jorge,
27,DF,ITA,Andrea Cambiaso,
36,GK,ITA,Mattia Perin,
41,MF,ITA,Hans Nicolussi,
19,DF,ITA,Leonardo Bonucci,
—,DF,ITA,Alessandro Minelli,
—,FW,CRO,Marko Pjaca,
—,GK,ITA,Stefano Gori,(at Monza until 30 June 2024)
—,DF,ITA,Tommaso Barbieri,(at Pisa until 30 June 2024)
—,DF,ITA,Davide De Marino,(at Virtus Francavilla until 30 June 2024)
—,DF,BEL,Koni De Winter,(at Genoa until 30 June 2024)
—,DF,ITA,Gianluca Frabotta,(at Bari until 30 June 2024)
—,DF,URU,Facundo González,(at Sampdoria until 30 June 2024)
—,DF,ITA,Mattia Marino,(at Ravenna until 30 June 2024)
—,DF,ITA,Luca Pellegrini,(at Lazio until 30 June 2025)
—,MF,BRA,Arthur,(at Fiorentina until 30 June 2024)
—,MF,ARG,Enzo Barrenechea,(at Frosinone until 30 June 2024)
—,MF,ITA,Andrea Bonetti,(at Taranto until 30 June 2024)
—,MF,BEL,Daouda Peeters,(at Sudtirol until 30 June 2024)
—,MF,ITA,Filippo Ranocchia,(at Empoli until 30 June 2024)
—,MF,ITA,Nicolò Rovella,(at Lazio until 30 June 2025)
—,MF,ITA,Nikola Sekulov,(at Cremonese until 30 June 2024)
—,MF,ITA,Alessandro Sersanti,(at Lecco until 30 June 2024)
—,MF,ARG,Matías Soulé,(at Frosinone until 30 June 2024)
—,FW,FRA,Marley Aké,(at Udinese until 30 June 2024)
—,FW,ITA,Mattia Compagnon,(at Feralpisalò until 30 June 2024)
—,FW,POR,Felix Correia,(at Gil Vicente until 30 june 2024)
—,FW,ITA,Ferdinando Del Sole,(at Potenza until 30 June 2024)
—,FW,ITA,Tommaso Galante,(at Reggiana until 30 June 2024)
—,FW,SUI,Christopher Lungoyi,(at Yverdon until 30 June 2024)
—,FW,ITA,Marco Olivieri,(at Venezia until 30 June 2024)
—,FW,ITA,Emanuele Pecorino,(at Sudtirol until 30 June 2024)
