No.,Pos.,Nation,Player,Info
3,DF,ITA,Luca Pellegrini,(on loan from Juventus)
4,MF,ESP,Patric,
5,MF,URU,Matías Vecino,
6,MF,JPN,Daichi Kamada,
7,MF,BRA,Felipe Anderson,
8,MF,BRA,Marcos Antônio,
9,FW,ESP,Pedro,
10,FW,ESP,Luis Alberto,
13,DF,ITA,Alessio Romagnoli,
15,DF,ITA,Nicolò Casale,
17,FW,ITA,Ciro Immobile,(captain)
18,FW,DEN,Gustav Isaksen,
19,FW,ARG,Taty Castellanos,
20,MF,ITA,Mattia Zaccagni,
22,FW,PAR,Diego González,
23,DF,ALB,Elseid Hysaj,
26,MF,CRO,Toma Bašić,
29,MF,ITA,Manuel Lazzari,
31,GK,LTU,Marius Adamonis,
32,MF,ITA,Danilo Cataldi,
34,DF,ESP,Mario Gila,
55,GK,ITA,Alessio Furlanetto,
65,MF,ITA,Nicolò Rovella,(on loan from Juventus)
77,DF,MNE,Adam Marušić,
94,GK,ITA,Ivan Provedel,
96,MF,ALG,Mohamed Farès,
—,GK,ITA,Luigi Sepe,(on loan from Salernitana)
—,DF,SRB,Dimitrije Kamenović,
—,MF,ITA,André Anderson,
—,MF,ESP,Jony,
—,MF,ITA,Cristiano Lombardi,
—,FW,ITA,Alessandro Rossi,
—,GK,POR,Luís Maximiano,(at Almería until 30 June 2024)
—,DF,ITA,Romano Floriani Mussolini,(at Pescara until 30 June 2024)
—,DF,ITA,Mattia Novella,(at Picerno until 30 June 2024)
—,MF,CIV,Jean-Daniel Akpa Akpro,(at Monza until 30 June 2024)
—,MF,ITA,Marco Bertini,(at SPAL until 30 June 2024)
—,FW,ITA,Matteo Cancellieri,(at Empoli until 30 June 2024)
—,FW,ESP,Raúl Moro,(at Real Valladolid until 30 June 2024)
