No.,Pos.,Nation,Player,Info
4,MF,MAR,Youssef Maleh,
5,DF,CRO,Marin Pongračić,
6,DF,ITA,Federico Baschirotto,
7,FW,SWE,Pontus Almqvist,
8,MF,TUN,Hamza Rafia,
9,FW,MNE,Nikola Krstović,
11,FW,ITA,Federico Di Francesco,
12,DF,ITA,Lorenzo Venuti,
13,DF,DEN,Patrick Dorgu,
14,MF,ISL,Þórir Jóhann Helgason,
16,MF,ESP,Joan Gonzàlez,
17,DF,FRA,Valentin Gendrey,
19,FW,POL,Marcin Listkowski,
20,MF,ALB,Ylber Ramadani,
21,GK,ITA,Federico Brancolini,
22,FW,ZAM,Lameck Banda,
23,MF,ITA,Giacomo Faticanti,
25,DF,ITA,Antonino Gallo,
26,DF,SWE,Zinedin Smajlović,
27,MF,BRA,Gabriel Strefezza,
28,MF,ROU,Catalin Vulturar,
29,MF,FRA,Alexis Blin,
30,GK,ITA,Wladimiro Falcone,
31,FW,SWE,Joel Voelkerling Persson,
40,GK,FIN,Jasper Samooja,
45,FW,ROU,Rareș Burnete,
55,DF,ALB,Kastriot Dermaku,
77,MF,FRA,Mohamed Kaba,
98,GK,ROU,Alexandru Borbei,
—,DF,ALG,Ahmed Touba,(on loan from Istambul Basaksehir)
—,MF,FRA,Rémi Oudin,
—,GK,ITA,Marco Bleve,(on loan to Carrarese until 30 June 2024)
—,DF,BEL,Mats Lemmens,(on loan to Lecco until 31 December 2023)
—,FW,FIN,Eetu Mömmö,(on loan to Hafnarfjördur until 31 December 2023)
—,FW,ESP,Pablo Rodríguez,(on loan to Ascoli until 30 June 2024)
