No.,Pos.,Nation,Player,Info
1,GK,ITA,Eugenio Lamanna,
3,DF,ITA,Armando Anastasio,
4,DF,ITA,Armando Izzo,
5,DF,ITA,Luca Caldirola,
6,MF,ITA,Roberto Gagliardini,
7,MF,EQG,José Machín,
8,MF,CIV,Jean-Daniel Akpa Akpro,(on loan from Lazio)
10,FW,ITA,Gianluca Caprari,
11,MF,ARG,Franco Carboni,(on loan from Inter Milan)
13,DF,POR,Pedro Pereira,
16,GK,ITA,Michele Di Gregorio,
18,DF,ITA,Davide Bettella,
19,DF,ITA,Samuele Birindelli,
21,MF,ARG,Valentín Carboni,(on loan from Inter Milan)
22,DF,ESP,Pablo Marí,
23,GK,ITA,Alessandro Sorrentino,
24,FW,CRO,Mirko Marić,
26,DF,BUL,Valentin Antov,
28,MF,ITA,Andrea Colpani,
32,MF,ITA,Matteo Pessina,(captain)
33,DF,ITA,Danilo D'Ambrosio,
38,MF,FRA,Warren Bondo,
44,DF,ITA,Andrea Carboni,
46,DF,ITA,Giorgio Cittadini,(on loan from Atalanta)
47,FW,POR,Dany Mota,
66,GK,ITA,Stefano Gori,(on loan from Juventus)
77,DF,GRE,Giorgos Kyriakopoulos,(on loan from Sassuolo)
80,MF,ITA,Samuele Vignato,
84,FW,ITA,Patrick Ciurria,
—,FW,CRO,Mate Antunović,(on loan from Hajduk Split)
—,GK,ITA,Alessio Cragno,(at Sassuolo until 30 June 2024)[207]
—,DF,BRA,Carlos Augusto,(at Inter Milan until 30 June 2024)[208]
—,MF,ITA,Marco D'Alessandro,(at Pisa until 30 June 2024)[209]
—,MF,ITA,Mattia Valoti,(at Pisa until 30 June 2024)[210]
—,FW,ITA,Davide Diaw,(at Bari until 30 June 2024)[211]
—,FW,ITA,Leonardo Mancuso,(at Palermo until 30 June 2024)[212]
—,FW,ITA,Andrea Petagna,(at Cagliri until 30 June 2024)
