No.,Pos.,Nation,Player,Info
1,GK,ITA,Alex Meret,
3,DF,BRA,Natan,
4,MF,GER,Diego Demme,
5,DF,BRA,Juan Jesus,
6,DF,POR,Mário Rui,(vice-captain)
7,MF,MKD,Elif Elmas,
9,FW,NGA,Victor Osimhen,
11,FW,MEX,Hirving Lozano,
13,DF,KOS,Amir Rrahmani,
14,GK,UKR,Nikita Contini,
16,GK,POL,Hubert Idasiak,
17,DF,URU,Mathías Olivera,
18,FW,ARG,Giovanni Simeone,
20,MF,POL,Piotr Zieliński,
21,FW,ITA,Matteo Politano,
22,DF,ITA,Giovanni Di Lorenzo,(captain)
23,FW,ITA,Alessio Zerbin,
24,MF,SWE,Jens Cajuste,
26,MF,MLI,Coli Saco,
31,FW,ALG,Karim Zedadka,
38,MF,ITA,Lorenzo Russo,
55,DF,NOR,Leo Østigård,
59,DF,ITA,Alessandro Zanoli,
68,MF,SVK,Stanislav Lobotka,
70,MF,ITA,Gianluca Gaetano,
77,FW,GEO,Khvicha Kvaratskhelia,
81,FW,ITA,Giacomo Raspadori,
95,GK,ITA,Pierluigi Gollini,(on loan from Atalanta)
99,MF,CMR,André-Frank Zambo Anguissa,
—,MF,DEN,Jesper Lindstrøm,
—,GK,ITA,Elia Caprile,(at Empoli until 30 June 2024)
—,DF,ITA,Francesco Mezzoni,(at Perugia until 30 June 2024)
—,DF,ITA,Nosa Obaretin,(at Trento until 30 June 2024)
—,DF,ITA,Lorenzo Sgarbi,(at Avellino until 30 June 2024)
—,MF,ITA,Michael Folorunsho,(at Hellas Verona until 30 June 2024)
—,MF,ITA,Antonio Vergara,(at Reggiana until 30 June 2024)
—,FW,ITA,Giuseppe Ambrosino,(at Catanzaro until 30 June 2024)
—,FW,MAR,Walid Cheddira,(at Frosinone until 30 June 2024)
—,FW,ITA,Antonio Cioffi,(at Ancona until 30 June 2024)
10,FW,ARG,Diego Maradona,(1984–1991)
