No.,Pos.,Nation,Player,Info
1,GK,POR,Rui Patrício,
2,DF,NED,Rick Karsdorp,
4,MF,ITA,Bryan Cristante,(3rd captain)
5,DF,CIV,Evan Ndicka,
6,DF,ENG,Chris Smalling,
7,MF,ITA,Lorenzo Pellegrini,(captain)
9,FW,ENG,Tammy Abraham,
11,FW,ITA,Andrea Belotti,
14,DF,ESP,Diego Llorente,(on loan from Leeds United)
16,MF,ARG,Leandro Paredes,
17,FW,IRN,Sardar Azmoun,(on loan from Bayer Leverkusen)
18,FW,NOR,Ola Solbakken,
19,DF,TUR,Zeki Çelik,
20,MF,POR,Renato Sanches,(on loan from Paris Saint-Germain)
21,FW,ARG,Paulo Dybala,
22,MF,ALG,Houssem Aouar,
23,DF,ITA,Gianluca Mancini,(vice-captain)
24,DF,ALB,Marash Kumbulla,
37,MF,ITA,Leonardo Spinazzola,
43,DF,DEN,Rasmus Kristensen,(on loan from Leeds United)
52,MF,ITA,Edoardo Bove,
59,MF,POL,Nicola Zalewski,
63,GK,ITA,Pietro Boer,
90,FW,BEL,Romelu Lukaku,(on loan from Chelsea)
92,FW,ITA,Stephan El Shaarawy,
99,GK,SRB,Mile Svilar,
60,MF,ITA,Riccardo Pagano,
61,MF,ITA,Niccolò Pisilli,
62,FW,ITA,Filippo Alessio,(on loan from Vicenza)
—,GK,ITA,Davide Mastrantonio,(at Monterosi until 30 June 2024)
—,DF,URU,Matías Viña,(at Sassuolo until 30 June 2024)
—,DF,ITA,Matteo Pellegrini,(at Matera until 30 June 2024)
—,MF,GAM,Ebrima Darboe,(at LASK until 30 June 2024)
—,FW,UZB,Eldor Shomurodov,(at Cagliari until 30 June 2024)
10,FW,ITA,Francesco Totti,(1993–2017)
