No.,Pos.,Nation,Player,Info
1,GK,ITA,Marco Silvestri,
2,DF,IRL,Festy Ebosele,
3,DF,MAR,Adam Masina,
4,MF,SVN,Sandi Lovrić,
5,DF,FRA,Axel Guessand,
6,MF,ESP,Oier Zarraga,
7,FW,NGA,Isaac Success,
8,MF,POR,Domingos Quina,
9,FW,POR,Beto,
10,FW,ESP,Gerard Deulofeu,
11,MF,BRA,Walace,
12,DF,CIV,Hassane Kamara,
13,DF,POR,João Ferreira,(on loan from Watford)
14,DF,IRL,James Abankwah,
15,FW,FRA,Marley Aké,(on loan from Juventus)
17,FW,ITA,Lorenzo Lucca,(on loan from Pisa)
18,DF,ARG,Nehuén Pérez,
19,DF,NGA,Kingsley Ehizibue,
20,FW,POR,Vivaldo Semedo,
21,MF,FRA,Etienne Camara,
22,FW,BRA,Brenner,
23,DF,CMR,Enzo Ebosse,
24,MF,SRB,Lazar Samardžić,
25,MF,ITA,Marco Ballarini,
26,MF,FRA,Florian Thauvin,
27,DF,BEL,Christian Kabasele,
29,DF,SVN,Jaka Bijol,
33,DF,ZIM,Jordan Zemura,
34,FW,BEL,Sekou Diawara,
40,GK,NGA,Maduka Okoye,
77,FW,GHA,Raymond Asante,
79,MF,SVN,David Pejičić,
80,FW,ITA,Simone Pafundi,
93,GK,ITA,Daniele Padelli,
99,GK,ITA,Edoardo Piana,
—,DF,CRO,Filip Benković,(at Trabzonspor until 30 June 2023)
—,DF,POR,Leonardo Buta,(at Gil Vicente until 30 June 2023)
—,FW,BRA,Matheus Martins,(at Watford until 30 June 2023)
